episode_id,scenario_name,config_name,pedestrian_mode,seed,dropout_prob,outcome,duration_s,wall_s,path_length_m,min_human_distance_m,intervention_count_total,intervention_count_cause_0,intervention_count_cause_1,intervention_count_cause_2,intervention_count_cause_3,intervention_count_cause_4,intervention_count_cause_5,intervention_count_cause_6,intervention_count_cause_7
open_arena_baseline_mppi_reactive_seed0,open_arena,baseline_mppi,reactive,0,0.0,success,11.6,19.573485961002007,2.7689459065527964,0.5218103565564566,0,0,0,0,0,0,0,0,0
open_arena_baseline_mppi_reactive_seed1,open_arena,baseline_mppi,reactive,1,0.0,success,11.4,19.38515622900013,2.796482344887338,0.6144306846339919,0,0,0,0,0,0,0,0,0
open_arena_baseline_mppi_reactive_seed2,open_arena,baseline_mppi,reactive,2,0.0,success,11.8,19.76960210600373,2.8118330812955574,0.5248163214705741,0,0,0,0,0,0,0,0,0
open_arena_baseline_mppi_reactive_seed3,open_arena,baseline_mppi,reactive,3,0.0,success,12.0,20.04701120700338,2.7542687859255586,0.8007375710869743,0,0,0,0,0,0,0,0,0
open_arena_baseline_mppi_reactive_seed4,open_arena,baseline_mppi,reactive,4,0.0,success,11.6,19.63836573399749,2.7639622560136363,0.4648273659272715,0,0,0,0,0,0,0,0,0
open_arena_baseline_mppi_reactive_seed5,open_arena,baseline_mppi,reactive,5,0.0,success,11.4,19.47496022300038,2.7943191600900397,0.44149295738478284,0,0,0,0,0,0,0,0,0
open_arena_baseline_mppi_reactive_seed6,open_arena,baseline_mppi,reactive,6,0.0,success,11.6,19.51520625500416,2.7722919079197585,0.6803662497721177,0,0,0,0,0,0,0,0,0
open_arena_baseline_mppi_reactive_seed7,open_arena,baseline_mppi,reactive,7,0.0,collision,4.55,12.577101725997636,0.18797785390856367,0.3702432782643866,0,0,0,0,0,0,0,0,0
open_arena_baseline_mppi_non_reactive_seed0,open_arena,baseline_mppi,non_reactive,0,0.0,success,11.6,19.692820167998434,2.763570967839504,0.6062562531553726,0,0,0,0,0,0,0,0,0
open_arena_baseline_mppi_non_reactive_seed1,open_arena,baseline_mppi,non_reactive,1,0.0,collision,9.76,17.59991087700473,2.213084423341224,0.37652046428802555,0,0,0,0,0,0,0,0,0
